VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Latitude,Longitude
7SAYGDED5P,King,Redmond,WA,98052.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1207376,47.6705374
1G1FW6S00H,Kitsap,Bainbridge Island,WA,98110.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.5305071,47.6400595
3GPKHXRJ0R,King,Redmond,WA,98052.0,2024,HONDA,PROLOGUE,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1207376,47.6705374
5YJYGDEE0L,King,Issaquah,WA,98029.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.0209893,47.5632565
3FMTK3RM8M,Snohomish,Monroe,WA,98272.0,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-121.968385,47.854897
5LMTJ5DZ9N,Snohomish,Lake Stevens,WA,98258.0,2022,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.0816912,48.0122934
KNDCM3LD4K,King,Bothell,WA,98011.0,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.201408,47.754528
JTMEB3FV9P,Snohomish,Mill Creek,WA,98012.0,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.206146,47.839957
KM8KRDAF1N,King,Beaux Arts,WA,98004.0,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.202397,47.619252
7PDSGABA0R,King,Sammamish,WA,98075.0,2024,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.0181135,47.5880568
WP0AB2Y10R,King,Kirkland,WA,98033.0,2024,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1925969,47.676241
5UXTS1C04L,King,Seattle,WA,98101.0,2020,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.3340795,47.6099315
KMHC75LH5H,King,Seattle,WA,98125.0,2017,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.304356,47.715668
2C4RC1L70N,King,Tukwila,WA,98188.0,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.271716,47.452837
7PDSGABL4P,King,Seattle,WA,98101.0,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.3340795,47.6099315
WMEEJ9AA6E,Kitsap,Bainbridge Island,WA,98110.0,2014,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.5305071,47.6400595
1G1RC6S55H,Snohomish,Everett,WA,98208.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.2032349,47.8956271
7SAYGDEE1R,King,Kent,WA,98031.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.201564,47.402358
7FCTGAAA8P,King,Bellevue,WA,98007.0,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1436732,47.6157551
5YJXCBE25G,King,Kent,WA,98030.0,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.1994204,47.3741045
1N4AZ1BV4R,Clark,Vancouver,WA,98664.0,2024,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.575383,45.620105
5YJ3E1EB0L,King,Seattle,WA,98178.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.2453,47.499708
JTDACACUXP,King,Bellevue,WA,98005.0,2023,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.167394,47.614119
KNDCC3LG9N,King,Sammamish,WA,98074.0,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.0430602,47.6259676
1FADP5CU3E,King,Seattle,WA,98125.0,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.304356,47.715668
WMW13DJ03N,King,Bothell,WA,98011.0,2022,MINI,HARDTOP,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.201408,47.754528
5YJSA1E54P,King,Kirkland,WA,98033.0,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1925969,47.676241
ZACPDFCWXR,King,Tukwila,WA,98188.0,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.271716,47.452837
YV4ER3XM4R,King,Kirkland,WA,98033.0,2024,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1925969,47.676241
2C4RC1L74J,Kitsap,Port Orchard,WA,98367.0,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.6530052,47.4739066
1G1FW6S09H,King,Kent,WA,98031.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.201564,47.402358
7SAXCBE60P,Kitsap,Olalla,WA,98359.0,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.5730403,47.4282964
7SAXCBE5XN,King,Clyde Hill,WA,98004.0,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.202397,47.619252
WVGDMPE21M,Clark,Vancouver,WA,98685.0,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.688741,45.711311
1N4BZ1CV1N,King,Seattle,WA,98112.0,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.300312,47.629782
WA1H2BFZ9N,King,Seattle,WA,98146.0,2022,AUDI,Q4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.3551826,47.5000521
KNDC3DLC7N,King,Seattle,WA,98115.0,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.3008235,47.6862671
YSMFD3KA6R,King,Seattle,WA,98112.0,2024,POLESTAR,PS2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.300312,47.629782
1C4RJXR65R,Clallam,Port Angeles,WA,98362.0,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-123.4031294,48.1009483
1G1FZ6S0XL,King,Seattle,WA,98109.0,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.3441532,47.6305366
